Code;Location;Registered;Envelopes;Valid;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
552356;Babice;370;256;254;79;1;0;0;0;25;9;0;13;0;5;0;0;2;0;18;1;2;1;66;5;17;10;0;0
500526;Bělkovice-Lašťany;1801;1079;1069;333;1;0;1;1;81;75;1;97;6;6;1;0;8;2;44;7;15;18;153;32;104;83;0;0
500623;Bílá Lhota;931;568;565;164;0;0;0;1;73;62;5;31;0;6;0;2;3;0;20;0;6;4;81;12;53;42;0;0
552062;Bílsko;172;119;119;27;1;1;0;0;3;25;0;8;0;1;0;0;1;0;7;0;0;1;20;1;12;11;0;0
500801;Blatec;497;320;319;110;0;0;0;0;26;26;0;21;1;1;0;0;0;1;19;1;3;7;43;7;25;28;0;0
500852;Bohuňovice;2030;1352;1340;445;8;2;3;3;98;103;1;135;7;15;6;0;5;4;49;5;28;24;152;43;139;59;2;4
500861;Bouzov;1261;778;771;213;0;1;0;2;100;85;1;53;8;6;2;0;2;1;18;0;4;14;88;27;78;65;0;3
552402;Bukovany;528;369;369;93;0;0;0;0;21;56;0;44;0;0;1;0;5;0;17;4;3;10;35;13;47;19;0;1
500879;Bystročice;620;384;384;130;2;0;1;4;31;19;0;63;2;0;0;0;1;0;15;1;1;3;32;7;32;40;0;0
547026;Bystrovany;804;555;553;164;3;0;2;1;25;52;0;71;2;1;2;0;1;1;25;1;11;4;62;30;62;33;0;0
552186;Červenka;1119;720;716;214;1;0;2;0;66;83;0;46;3;3;0;0;7;2;28;5;8;8;100;14;61;63;1;1
552445;Daskabát;486;323;320;139;0;0;1;0;26;25;0;18;1;5;0;0;1;0;11;0;10;5;26;3;32;16;0;1
501476;Dlouhá Loučka;1562;854;850;277;1;0;0;0;77;24;0;62;3;9;3;3;3;0;63;3;17;12;132;26;76;57;2;0
501646;Dolany;2107;1418;1408;426;1;1;2;1;75;135;3;160;15;4;1;1;2;1;87;5;20;18;141;55;169;84;0;1
568392;Doloplazy;1063;655;640;167;3;0;0;3;42;104;4;71;5;5;2;0;5;2;24;0;12;8;86;14;44;39;0;0
545279;Domašov nad Bystřicí;402;208;206;73;2;0;0;0;29;4;0;9;1;2;0;0;0;0;6;0;1;1;46;1;12;19;0;0
552313;Domašov u Šternberka;258;139;139;54;0;0;0;0;12;8;0;21;0;0;0;0;0;0;2;0;0;0;16;6;12;8;0;0
501751;Drahanovice;1403;838;832;256;2;1;0;1;85;73;2;39;4;4;3;0;4;0;47;5;11;9;144;19;60;62;0;1
501794;Dub nad Moravou;1277;779;774;242;1;0;0;4;61;95;2;37;4;4;1;2;0;1;27;3;13;6;93;14;89;71;0;4
552071;Dubčany;189;108;108;21;0;0;0;0;9;33;0;3;1;1;0;0;0;0;10;0;0;0;7;1;6;16;0;0
501841;Grygov;1181;790;788;250;3;0;0;2;74;48;3;65;8;4;4;0;6;2;30;4;25;15;89;12;76;68;0;0
552178;Haňovice;377;262;261;75;0;2;0;1;19;45;0;19;3;0;0;0;1;3;2;1;4;0;42;7;11;26;0;0
552330;Hlásnice;159;91;91;25;0;0;0;0;5;15;0;7;0;0;0;0;0;0;1;0;4;1;12;9;8;4;0;0
502146;Hlubočky;3544;1929;1920;671;2;1;0;4;231;104;2;139;13;22;0;0;3;7;39;8;33;26;244;32;166;171;1;1
552020;Hlušovice;638;440;439;137;0;2;0;0;14;26;0;62;6;3;0;1;1;1;19;1;4;10;44;26;38;43;0;1
502235;Hněvotín;1350;869;862;271;0;2;1;0;55;49;1;109;6;3;1;1;2;1;36;2;7;9;123;36;77;68;0;2
502405;Hnojice;488;303;303;98;1;0;2;1;18;36;1;25;2;4;0;2;1;1;7;3;6;7;49;12;12;14;0;1
502545;Horka nad Moravou;1919;1277;1271;414;3;3;0;4;100;71;2;129;3;8;2;0;7;1;91;2;11;9;189;51;106;62;2;1
569798;Horní Loděnice;267;123;123;32;2;0;0;0;26;11;1;6;0;0;0;0;0;1;7;1;3;2;13;3;9;6;0;0
